,Id,PetalLengthCm,PetalWidthCm,SepalWidthCm,Species
0,1,1.4,0.2,3.5,Iris-setosa
1,2,1.4,0.2,3.0,Iris-setosa
2,3,1.3,0.2,3.2,Iris-setosa
3,4,1.5,0.2,3.1,Iris-setosa
4,5,1.4,0.2,3.6,Iris-setosa
5,6,1.7,0.4,3.9,Iris-setosa
6,7,1.4,0.3,3.4,Iris-setosa
7,8,1.5,0.2,3.4,Iris-setosa
8,9,1.4,0.2,2.9,Iris-setosa
9,10,1.5,0.1,3.1,Iris-setosa
10,11,1.5,0.2,3.7,Iris-setosa
11,12,1.6,0.2,3.4,Iris-setosa
12,13,1.4,0.1,3.0,Iris-setosa
13,14,1.1,0.1,3.0,Iris-setosa
14,15,1.2,0.2,4.0,Iris-setosa
15,16,1.5,0.4,4.4,Iris-setosa
16,17,1.3,0.4,3.9,Iris-setosa
17,18,1.4,0.3,3.5,Iris-setosa
18,19,1.7,0.3,3.8,Iris-setosa
19,20,1.5,0.3,3.8,Iris-setosa
20,21,1.7,0.2,3.4,Iris-setosa
21,22,1.5,0.4,3.7,Iris-setosa
22,23,1.0,0.2,3.6,Iris-setosa
23,24,1.7,0.5,3.3,Iris-setosa
24,25,1.9,0.2,3.4,Iris-setosa
25,26,1.6,0.2,3.0,Iris-setosa
26,27,1.6,0.4,3.4,Iris-setosa
27,28,1.5,0.2,3.5,Iris-setosa
28,29,1.4,0.2,3.4,Iris-setosa
29,30,1.6,0.2,3.2,Iris-setosa
30,31,1.6,0.2,3.1,Iris-setosa
31,32,1.5,0.4,3.4,Iris-setosa
32,33,1.5,0.1,4.1,Iris-setosa
33,34,1.4,0.2,4.2,Iris-setosa
34,35,1.5,0.1,3.1,Iris-setosa
35,36,1.2,0.2,3.2,Iris-setosa
36,37,1.3,0.2,3.5,Iris-setosa
37,38,1.5,0.1,3.1,Iris-setosa
38,39,1.3,0.2,3.0,Iris-setosa
39,40,1.5,0.2,3.4,Iris-setosa
40,41,1.3,0.3,3.5,Iris-setosa
41,42,1.3,0.3,2.3,Iris-setosa
42,43,1.3,0.2,3.2,Iris-setosa
43,44,1.6,0.6,3.5,Iris-setosa
